,pos,sentence_idx,word,tag
81,CC,9,ou,_
82,DET,9,les,_
83,NC,9,visÃ©es,_
84,PROREL,9,que,P
85,DET,9,l',_
86,CLS,9,on,_
87,V,9,peut,_
88,VINF,9,attribuer,_
89,P+D,9,aux,_
90,NC,9,guides,_
91,P,9,de,_
92,NC,9,voyages,_
93,CC,9,et,_
94,ADV,9,plus,_
95,ADV,9,spÃ©cifiquement,_
96,P+D,9,au,_
97,NC,9,Guide,_
98,P+D,9,du,_
99,NC,9,Routard,_
100,DELIM,9,Â§,_
101,PRO,10,Tout,P
102,P,10,d',_
103,NC,10,abord,_
104,PONCT,10,",",_
105,NPP,10,l,_
106,PONCT,10,",",P
107,PROREL,10,qui,_
108,V,10,a,_
109,PRO,10,lui,_
110,DET,10,une,_
111,NC,10,visÃ©e,_
112,ADV,10,plutot,_
113,ADJ,10,descriptive,_
114,PONCT,10,",",_
115,ADJ,10,narrative,_
116,PONCT,10,.,_
117,DELIM,10,Â§,_
118,ADV,11,Toutefois,P
119,PONCT,11,",",_
120,DELIM,11,Â§,_
121,CLS,12,Il,P
122,V,12,est,_
123,ADJ,12,possible,_
124,P,12,de,_
125,VINF,12,citer,_
126,ADJ,12,commes,_
127,NC,12,preuve,_
128,P,12,de,_
129,DET,12,cette,_
130,NC,12,appartenance,_
131,P+D,12,du,_
132,ADV,12,moins,_
133,ADJ,12,partielle,_
134,P+D,12,au,_
135,NC,12,genre,_
136,PONCT,12,&quot;,_
137,NC,12,rÃ©cit,_
138,P,12,de,_
139,NC,12,voyage,_
140,PONCT,12,&quot;,_
141,PONCT,12,",",_
142,DET,12,la,_
143,NC,12,prÃ©sence,_
144,P,12,d',_
145,NC,12,anecdotes,_
146,CC,12,et,_
147,PONCT,12,-,P
148,P,12,pour,_
149,NC,12,guide,_
150,P,12,de,_
151,NC,12,voyage,_
152,PONCT,12,/,_
153,VPP,12,visÃ©e,_
154,ADJ,12,didactique,_
155,P,12,=,_
156,NC,12,Ã©nonciateur,_
157,ADJ,12,anonyme,_
158,PONCT,12,",",P
159,NC,12,dÃ©personnalisation,_
160,NC,12,objectiisation,_
161,P+D,12,du,_
162,NC,12,propos,_
163,NPP,12,VS,_
164,PONCT,12,-,_
165,P,12,pour,_
166,NC,12,rÃ©cit,_
167,P,12,de,_
168,NC,12,voyage,_
169,PONCT,12,:,_
170,NC,12,changement,_
171,P,12,d',_
172,NPP,12,Ã©nonciateur,_
173,PONCT,12,?,_
174,DELIM,12,Â§,_
175,NC,13,PrÃ©sence,P
176,P,13,de,_
177,NC,13,phrases,_
178,ADJ,13,verbales,_
179,PONCT,13,",",P
180,NC,13,phrases,_
181,NC,13,averbales,_
182,DELIM,13,Â§,_
183,P,14,A,P
184,DELIM,14,Â§,_
185,NC,15,Alternance,P
186,P+D,15,des,_
187,NC,15,sÃ©quences,_
188,DELIM,15,Â§,_
189,DET,16,Le,P
190,NC,16,guide,_
191,P,16,de,_
192,NC,16,voyage,_
193,PONCT,16,:,_
194,DET,16,un,_
195,CC,16,ou,P
196,DET,16,des,_
197,NC,16,genres,_
198,P,16,de,_
199,NC,16,discours,_
200,PONCT,16,?,_
201,DELIM,16,Â§,_
202,NC,17,genres,P
203,NC,17,discurifs,_
204,P,17,de,P
205,DET,17,l',_
206,NC,17,alternance,_
207,P+D,17,des,_
208,NC,17,genres,_
209,ADJ,17,discursifs,_
210,DELIM,17,Â§,_
211,NC,18,Palais,_
212,P,18,de,_
213,DET,18,l',_
214,NPP,18,Ã‰lysÃ©e,_
215,PONCT,18,-,_
216,NC,18,Mardi,_
217,ADJ,18,15,_
218,NC,18,Mai,_
219,NC,18,2012,_
220,DELIM,18,Â§,_
221,NC,19,Monsieur,P
222,DET,19,le,_
223,NPP,19,Chef,_
224,PONCT,19,",",_
225,NPP,19,Mesdames,_
226,PONCT,19,",",_
227,NC,19,Messieurs,_
228,DELIM,19,Â§,_
229,P,20,En,_
230,DET,20,ce,P
231,NC,20,jour,_
232,CLS,20,je,_
233,V,20,suis,_
234,VPP,20,investi,_
235,P,20,de,_
236,DET,20,la,_
237,ADV,20,plus,_
238,ADJ,20,haute,_
239,NC,20,charge,_
240,P+D,20,des,_
241,NC,20,cuisines,_
242,PONCT,20,",",_
243,CLS,20,j',_
244,V,20,adresse,_
245,P+D,20,aux,_
246,VPP,20,commis,_
247,DET,20,un,_
248,DELIM,20,Â§,_
249,CLS,21,Il,P
250,V,21,faudra,_
251,VINF,21,faire,_
252,NC,21,preuve,_
253,P,21,de,_
254,NC,21,rigueur,_
255,P,21,pour,_
256,VINF,21,remonter,P
257,DET,21,l',_
258,NC,21,Ã©chelle,_
259,P,21,de,_
260,NC,21,notation,_
261,P+D,21,du,_
262,NC,21,guide,_
263,NPP,21,Michelin,_
264,PONCT,21,.,_
265,DELIM,21,Â§,_
266,NC,22,message,P
267,P,22,de,_
268,NC,22,confiance,_
269,PONCT,22,.,_
270,DELIM,22,Â§,_
271,CLS,23,Nous,_
272,V,23,sommes,_
273,DET,23,une,_
274,ADJ,23,grande,_
275,NC,23,cuisine,_
276,PROREL,23,qui,_
277,P,23,dans,_
278,DET,23,son,_
279,NC,23,histoire,_
280,P,23,Ã ,_
281,ADV,23,toujours,_
282,VPP,23,su,_
283,VINF,23,mettre,P
284,P,23,en,_
285,NC,23,place,_
286,DET,23,les,P
287,NC,23,ustensiles,_
288,CC,23,et,_
289,NC,23,chambres,_
290,ADJ,23,froides,_
291,PONCT,23,",",P
292,NC,23,fours,_
293,PONCT,23,",",_
294,PONCT,23,.,P
295,DELIM,23,Â§,_
296,ADJ,24,nÃ©cessaire,P
297,P,24,Ã ,P
298,DET,24,la,_
299,NC,24,prÃ©paration,_
300,P+D,24,de,_
301,ADV,24,plus,_
302,ADJ,24,grands,_
303,NC,24,mets,_
304,PONCT,24,.,_
305,DELIM,24,Â§,_
306,PONCT,25,),P
307,PONCT,25,(,P
308,PONCT,25,/,P
309,P+D,25,du,_
310,ADJ,25,financier,_
311,NC,25,Ã€,P
312,DELIM,25,Â§,_
313,ADJ,26,Tel,P
314,V,26,est,_
315,DET,26,notre,_
316,DET,26,la,P
317,NC,26,confiance,_
318,PROREL,26,qui,_
319,CLO,26,m',_
320,V,26,est,_
321,VPP,26,accordÃ©,_
322,P,26,par,_
323,ADJ,26,tous,_
324,DET,26,les,_
325,NC,26,clients,_
326,P,26,de,_
327,DET,26,cette,_
328,DELIM,26,Â§,_
329,NPP,27,XXX,P
330,PONCT,27,:,_
331,VINF,27,servir,_
332,DET,27,un,_
333,ADJ,27,financier,_
334,DET,27,le,P
335,NC,27,e,P
336,DELIM,27,Â§,_
337,NC,28,Instructions,P
338,P,28,de,_
339,NC,28,cuisine,_
340,PONCT,28,:,_
341,DELIM,28,Â§,_
342,DET,29,La,P
343,NC,29,chaleur,_
344,V,29,provoquera,_
345,DET,29,une,_
346,NC,29,dette,_
347,ADJ,29,massive,_
348,P,29,en,P
349,NC,29,eau,_
350,PONCT,29,",",_
351,NC,29,grÃ¢ce,P
352,P+D,29,aux,_
353,NC,29,oeufs,_
354,CC,29,et,_
355,ADJ,29,prÃ©sents,P
356,P,29,dans,_
357,DET,29,la,_
358,NC,29,prÃ©paration,_
359,ADV,29,lors,P
360,P,29,de,_
361,DET,29,sa,_
362,NC,29,mise,_
363,P+D,29,au,_
364,NC,29,four,_
365,PONCT,29,.,_
366,DELIM,29,Â§,_
367,CLS,30,Il,_
368,CLO,30,y,_
369,V,30,aura,_
370,DET,30,une,_
371,NC,30,croissance,_
372,ADJ,30,faible,_
373,P+D,30,du,P
374,NC,30,volume,_
375,P+D,30,du,_
376,ADJ,30,financier,_
377,PONCT,30,",",_
378,VPP,30,induite,_
379,P,30,par,_
380,DET,30,la,P
381,NC,30,taille,_
382,P+D,30,des,_
383,NC,30,rÃ©cipients,_
384,V,30,es,P
385,NC,30,quantitÃ©s,_
386,PONCT,30,.,_
387,DELIM,30,Â§,_
388,CS,31,Si,P
389,CLS,31,vous,_
390,VPP,31,faites,_
391,DET,31,un,_
392,ADJ,31,faux,_
393,ADV,31,pas,_
394,CLS,31,ce,_
395,V,31,sera,_
396,DET,31,la,_
397,NC,31,crise,_
398,PONCT,31,:,_
399,CLS,31,Il,P
400,V,31,faudra,_
401,VINF,31,faire,_
402,NC,31,preuve,_
403,P,31,de,_
404,NC,31,rigueur,_
405,P,31,pour,_
406,VINF,31,remonter,_
407,DET,31,l',_
408,NC,31,Ã©chelle,_
409,P,31,de,_
410,NC,31,notation,_
411,P+D,31,du,_
412,NC,31,guide,_
413,NPP,31,Michelin,_
414,PONCT,31,.,_
415,DELIM,31,Â§,_
416,CLS,32,Je,P
417,V,32,mesure,_
418,DET,32,le,_
419,NC,32,poids,_
420,P,32,de,_
421,PRO,32,ce,_
422,PROREL,32,qu',_
423,CLS,32,il,_
424,CLO,32,nous,_
425,V,32,faut,_
426,PONCT,32,:,_
427,NC,32,poudres,P
428,P,32,d',_
429,NC,32,amandes,_
430,PONCT,32,",",_
431,NC,32,farine,_
432,ADJ,32,fluide,_
433,PONCT,32,",",P
434,NC,32,sucre,_
435,PONCT,32,",",_
436,NC,32,beurre,_
437,PONCT,32,",",_
438,ADJ,32,blanc,_
439,P,32,d',_
440,NC,32,oeufs,_
441,PONCT,32,",",_
442,NC,32,cuillÃ¨re,_
443,P,32,Ã ,_
444,NC,32,cafÃ©,_
445,P,32,d',_
446,NC,32,extrait,_
447,P,32,de,_
448,NC,32,vanille,_
449,PONCT,32,",",_
450,ADJ,32,petite,_
451,NC,32,pincÃ©e,_
452,P,32,de,_
453,NC,32,sel,_
454,PONCT,32,.,_
455,DELIM,32,Â§,_
456,PRO,33,Aucun,P
457,P,33,de,_
458,DET,33,ces,_
459,NC,33,aliments,_
460,ADV,33,ne,_
461,V,33,sera,_
462,VINF,33,amener,_
463,P,33,Ã ,_
464,VINF,33,chaumer,_
465,ADV,33,er,P
466,ADV,33,s,P
467,NPP,33,Ã´mer,P
468,V,33,a,P
469,NPP,33,eront,P
470,ADJ,33,r,P
471,NC,33,ra,P
472,PONCT,33,:,P
473,DET,33,la,P
474,NC,33,productivitÃ©,_
475,P,33,de,P
476,DET,33,notre,_
477,NC,33,plongeur,_
478,CLO,33,nous,_
479,V,33,permettra,_
480,P,33,d',_
481,VINF,33,avoir,_
482,DET,33,des,_
483,NC,33,ustensiles,_
484,P,33,de,_
485,NC,33,qualitÃ©s,_
486,PONCT,33,",",_
487,DET,33,l',P
488,NC,33,excellence,_
489,P,33,de,_
490,DET,33,nos,P
491,NC,33,commis,_
492,NC,33,prÃ©parateur,P
493,VPP,33,commis,P
494,ADJ,33,second,_
495,NC,33,chefs,_
496,PONCT,33,.,P
497,DELIM,33,Â§,_
498,P,34,Sans,P
499,VINF,34,mettre,_
500,DET,34,le,_
501,NC,34,feu,_
502,P,34,Ã ,_
503,DET,34,la,_
504,NC,34,poudre,_
505,P,34,d',_
506,NC,34,amande,_
507,PONCT,34,",",_
508,CLS,34,je,_
509,V,34,conseille,_
510,CLO,34,m',P
511,V,34,engage,_
512,P,34,Ã ,P
513,ADV,34,fai,_
514,VINF,34,promouvoir,P
515,CC,34,et,_
516,DET,34,l',P
517,NC,34,hÃ©tÃ©rogÃ©nÃ©itÃ©,_
518,P+D,34,du,_
519,NC,34,mÃ©lange,_
520,P,34,entre,_
521,DET,34,le,_
522,NC,34,sucre,_
523,PONCT,34,",",_
524,DET,34,la,_
525,NC,34,farine,_
526,ADJ,34,fluide,_
527,CC,34,et,_
528,DET,34,la,_
529,NC,34,vanille,_
530,PONCT,34,.,_
531,DELIM,34,Â§,_
532,ADV,35,Bien,P
533,ADV,35,qu,_
534,P,35,avec,P
535,NC,35,e,P
536,ADJ,35,dÃ©licat,_
537,PONCT,35,",",_
538,DET,35,ce,P
539,NC,35,mÃ©lange,_
540,V,35,est,P
541,ADJ,35,nÃ©cessaire,_
542,P,35,Ã ,P
543,DET,35,la,_
544,NC,35,rÃ©ussite,_
545,P,35,de,_
546,DET,35,notre,_
547,NC,35,rÃ©alisation,P
548,PONCT,35,.,_
549,DELIM,35,Â§,_
550,NC,36,pou,P
551,P,36,pour,P
552,VINF,36,beurrer,_
553,DET,36,les,_
554,NC,36,moules,_
555,PONCT,36,",",_
556,DELIM,36,Â§,_
557,DET,37,Cet,P
558,NC,37,engagement,P
559,CLR,37,s',_
560,V,37,accompagnera,_
561,P,37,d',P
562,DET,37,un,_
563,NC,37,ajout,_
564,P,37,de,P
565,NC,37,masse,_
566,PONCT,37,:,_
567,DET,37,les,P
568,ADJ,37,blancs,_
569,P,37,en,_
570,NC,37,neige,_
571,ADJ,37,ferme,_
572,P,37,avec,P
573,DET,37,une,_
574,NC,37,pincÃ©e,_
575,P,37,de,_
576,NC,37,sel,_
577,PONCT,37,.,P
578,DELIM,37,Â§,_
579,CLS,38,Nous,P
580,V,38,utiliserons,_
581,DET,38,les,_
582,NC,38,produits,_
583,P,38,de,_
584,DET,38,ma,_
585,NC,38,campagne,_
586,DELIM,38,Â§,_
587,CLS,39,Nous,P
588,ADV,39,n',_
589,V,39,allons,_
590,ADV,39,pas,_
591,CLO,39,nous,_
592,VINF,39,enteriner,_
593,ADV,39,Ã©r,P
594,DELIM,39,Â§,_
595,CLS,40,Il,_
596,V,40,faudra,_
597,VINF,40,dÃ©corer,_
598,DET,40,les,_
599,ADJ,40,financiers,_
600,P,40,pour,_
601,CLO,40,les,_
602,VINF,40,rendre,_
603,ADV,40,plus,_
604,ADJ,40,attractifs,_
605,DELIM,40,Â§,_
606,P,41,pour,_
607,VINF,41,mener,_
608,P,41,Ã ,_
609,ADV,41,bien,_
610,DET,41,notre,P
611,NC,41,projet,_
612,CLS,41,nous,P
613,ADV,41,ne,_
614,V,41,rÃ©solvons,_
615,ADV,41,pas,_
616,DET,41,les,_
617,NC,41,problÃ¨mes,_
618,DET,41,aucun,P
619,NC,41,e,P
620,NC,41,Ã©lÃ¨vation,_
621,ADV,41,n',_
622,V,41,aura,_
623,NC,41,lieu,P
624,PONCT,41,",",_
625,CLS,41,nous,_
626,V,41,seront,P
627,VPP,41,contraint,_
628,P,41,de,_
629,CLR,41,se,P
630,NC,41,retard,_
631,P,41,de,_
632,NC,41,croissance,_
633,NC,41,dÃ©faut,P
634,P,41,de,_
635,NC,41,croissance,_
636,ADV,41,entrainera,_
637,DET,41,un,_
638,NC,41,mÃ©contentement,_
639,P+D,41,des,_
640,NC,41,attentes,P
641,P,41,en,P
642,NC,41,amont,_
643,DELIM,41,Â§,_
644,ADJ,42,Tel,P
645,V,42,est,_
646,DET,42,la,_
647,NC,42,commande,_
648,PROREL,42,que,_
649,CLS,42,j',_
650,V,42,ai,_
651,VPP,42,reÃ§u,P
652,P,42,en,_
653,NPP,42,Cuisine,P
654,P+D,42,du,_
655,NC,42,C,_
656,NPP,42,Grand,P
657,NPP,42,Palais,_
658,NPP,42,Lu,P
659,NPP,42,DÃ©cembr6,_
660,P,42,de,P
661,DET,42,ces,_
662,NC,42,clients,_
663,ADJ,42,particuliers,_
664,PONCT,42,.,_
665,DELIM,42,Â§,_
666,CLS,43,nous,P
667,V,43,Ã©tablissementdigne,P
668,P+D,43,du,_
669,NC,43,rayonnement,_
670,P,43,de,_
671,DET,43,cette,_
672,NC,43,cuisine,_
673,CC,43,et,_
674,P,43,de,_
675,DET,43,son,_
676,CC,43,et,P
677,P,43,de,_
678,DET,43,son,_
679,NC,43,Ã©quipe,_
680,PONCT,43,.,_
681,DELIM,43,Â§,_
682,NPP,44,Maisa,P
683,P,44,dans,P
684,DET,44,cette,_
685,DELIM,44,Â§,_
686,CLS,45,Nous,P
687,ADV,45,n',_
688,V,45,allons,_
689,ADV,45,pas,_
690,CLO,45,nous,_
691,VINF,45,entÃ©riner,_
692,P,45,dans,_
693,DET,45,cette,_
694,DELIM,45,Â§,_
695,CS,46,Si,P
696,CLS,46,nous,_
697,ADV,46,ne,_
698,V,46,rÃ©solvons,_
699,ADV,46,pas,_
700,DET,46,les,_
701,NC,46,problÃ¨mes,_
702,P,46,en,_
703,NC,46,amont,_
704,CLS,46,ce,_
705,V,46,sera,_
706,DET,46,la,_
707,NC,46,crise,_
708,PONCT,46,:,_
709,DET,46,aucune,_
710,NC,46,Ã©lÃ¨vation,_
711,ADV,46,n',_
712,V,46,aura,_
713,NC,46,lieu,_
714,PONCT,46,",",_
715,CLR,46,se,_
716,NC,46,dÃ©faut,_
717,P,46,de,_
718,NC,46,croissance,_
719,ADV,46,entrainera,_
720,DET,46,un,_
721,NC,46,mÃ©contentement,_
722,P+D,46,des,_
723,NC,46,attentes,_
724,PROREL,46,qui,P
725,CLO,46,m',P
726,V,46,ont,_
727,VPP,46,Ã©tÃ©,_
728,VPP,46,investis,_
729,P,46,en,_
730,DET,46,ce,_
731,NC,46,jours,_
732,PONCT,46,.,_
733,DELIM,46,Â§,_
734,CLS,47,Il,P
735,CLR,47,s',_
736,V,47,agit,_
737,P,47,de,_
738,VINF,47,lier,_
739,DET,47,nos,_
740,NC,47,forces,_
741,CLS,47,je,P
742,V,47,souhaite,_
743,VINF,47,faire,_
744,VINF,47,revenir,_
745,PRO,47,celle,_
746,PONCT,47,-,_
747,NPP,47,ci,_
748,CS,47,car,_
749,CLS,47,je,P
750,V,47,veux,_
751,VINF,47,promouvoir,_
752,DET,47,les,_
753,NC,47,produits,_
754,P,47,de,_
755,DET,47,ma,_
756,NC,47,campagne,_
757,CC,47,et,_
758,VINF,47,donner,_
759,DET,47,le,_
760,ADJ,47,meilleur,_
761,P,47,d',P
762,PRO,47,eux,_
763,PONCT,47,-,_
764,ADV,47,mÃªme,_
765,PONCT,47,.,_
766,DELIM,47,Â§,_
767,ADJ,48,Tel,_
768,V,48,sera,_
769,DET,48,la,_
770,NC,48,clÃ©,_
771,P,48,de,_
772,DET,48,notre,_
773,NC,48,succÃ¨s,_
774,PONCT,48,.,_
775,DELIM,48,Â§,_
776,ADV,49,J,P
777,ADV,49,aussi,P
778,ADV,49,Ã©,P
779,DELIM,49,Â§,_
780,NC,50,Cuisine,_
781,P+D,50,du,_
782,NPP,50,Grand,_
783,NPP,50,Palais,_
784,PONCT,50,-,_
785,NC,50,Lundi,_
786,ADJ,50,12,_
787,NC,50,DÃ©cembre,_
788,NC,50,2016,_
789,DELIM,50,Â§,_
790,NC,51,Monsieur,_
791,DET,51,le,_
792,NPP,51,Chef,_
793,PONCT,51,",",_
794,NPP,51,Mesdames,_
795,PONCT,51,",",_
796,NC,51,Messieurs,_
797,DELIM,51,Â§,_
798,P,52,En,_
799,DET,52,ce,_
800,NC,52,jour,_
801,CLS,52,je,_
802,V,52,suis,_
803,VPP,52,investi,_
804,P,52,de,_
805,DET,52,la,_
806,ADV,52,plus,_
807,ADJ,52,haute,_
808,NC,52,charge,_
809,P+D,52,des,_
810,NC,52,cuisines,_
811,PONCT,52,",",_
812,CLS,52,j',_
813,V,52,adresse,_
814,P+D,52,aux,_
815,VPP,52,commis,_
816,DET,52,un,_
817,NC,52,message,_
818,P,52,de,_
819,NC,52,confiance,_
820,PONCT,52,.,_
821,DELIM,52,Â§,_
822,CLS,53,Nous,_
823,V,53,sommes,_
824,DET,53,une,_
825,ADJ,53,grande,_
826,NC,53,cuisine,_
827,PROREL,53,qui,_
828,P,53,dans,_
829,DET,53,son,_
830,NC,53,histoire,_
831,P,53,Ã ,_
832,ADV,53,toujours,_
833,VPP,53,su,_
834,VINF,53,mettre,_
835,P,53,en,_
836,NC,53,place,_
837,DET,53,les,_
838,NC,53,fours,_
839,CC,53,et,_
840,NC,53,chambres,_
841,ADJ,53,froides,_
842,ADJ,53,nÃ©cessaire,_
843,P,53,Ã ,_
844,DET,53,la,_
845,NC,53,prÃ©paration,_
846,PONCT,53,(,_
847,PONCT,53,/,_
848,P+D,53,des,_
849,ADV,53,plus,_
850,ADJ,53,grands,_
851,NC,53,mets,_
852,PONCT,53,),_
853,P+D,53,du,_
854,ADJ,53,financier,_
855,PONCT,53,.,_
856,DELIM,53,Â§,_
857,ADJ,54,Tel,_
858,V,54,est,_
859,DET,54,la,_
860,NC,54,commande,_
861,PROREL,54,que,_
862,CLS,54,j',_
863,V,54,ai,_
864,VPP,54,reÃ§u,_
865,P,54,de,_
866,DET,54,ces,_
867,NC,54,clients,_
868,ADJ,54,particuliers,_
869,PONCT,54,.,_
870,DELIM,54,Â§,_
871,CLS,55,Il,_
872,CLO,55,nous,_
873,V,55,faudra,_
874,VINF,55,faire,_
875,NC,55,preuve,_
876,P,55,de,_
877,NC,55,rigueur,_
878,P,55,pour,_
879,VINF,55,remonter,_
880,DET,55,l',_
881,NC,55,Ã©chelle,_
882,P,55,de,_
883,NC,55,notation,_
884,P+D,55,du,_
885,NC,55,guide,_
886,NPP,55,Michelin,_
887,PONCT,55,.,_
888,DELIM,55,Â§,_
889,ADJ,56,Telle,_
890,V,56,est,_
891,DET,56,la,_
892,NC,56,confiance,_
893,PROREL,56,qui,_
894,CLO,56,m',_
895,V,56,est,_
896,VPP,56,accordÃ©e,_
897,P,56,par,_
898,ADJ,56,tous,_
899,DET,56,les,_
900,NC,56,clients,_
901,P,56,de,_
902,DET,56,cet,_
903,NC,56,Ã©tablissement,_
904,PONCT,56,:,_
905,VINF,56,servir,_
906,DET,56,un,_
907,NC,56,financier,_
908,ADJ,56,digne,_
909,P+D,56,du,_
910,NC,56,rayonnement,_
911,P,56,de,_
912,DET,56,cette,_
913,NC,56,cuisine,_
914,CC,56,et,_
915,P,56,de,_
916,DET,56,son,_
917,NC,56,Ã©quipe,_
918,PONCT,56,.,_
919,DELIM,56,Â§,_
920,CLS,57,Je,_
921,V,57,mesure,_
922,DET,57,le,_
923,NC,57,poids,_
924,P,57,de,_
925,PRO,57,ce,_
926,PROREL,57,qu',_
927,CLS,57,il,_
928,CLO,57,nous,_
929,V,57,faut,_
930,P,57,pour,_
931,VINF,57,mener,_
932,P,57,Ã ,_
933,ADV,57,bien,_
934,DET,57,notre,_
935,NC,57,projet,_
936,PONCT,57,:,_
937,NC,57,poudres,_
938,P,57,d',_
939,NC,57,amandes,_
940,PONCT,57,",",_
941,NC,57,farine,_
942,ADJ,57,fluide,_
943,PONCT,57,",",_
944,NC,57,sucre,_
945,PONCT,57,",",_
946,NC,57,beurre,_
947,PONCT,57,",",_
948,ADJ,57,blanc,_
949,P,57,d',_
950,NC,57,oeufs,_
951,PONCT,57,",",_
952,NC,57,cuillÃ¨re,_
953,P,57,Ã ,_
954,NC,57,cafÃ©,_
955,P,57,d',_
956,NC,57,extrait,_
957,P,57,de,_
958,NC,57,vanille,_
959,PONCT,57,",",_
960,ADJ,57,petite,_
961,NC,57,pincÃ©e,_
962,P,57,de,_
963,NC,57,sel,_
964,PONCT,57,.,_
965,DELIM,57,Â§,_
966,CLS,58,Il,_
967,CLR,58,s',_
968,V,58,agit,_
969,P,58,de,_
970,VINF,58,lier,_
971,DET,58,nos,_
972,NC,58,forces,_
973,NPP,58,Mais,_
974,PRO,58,aucun,_
975,P,58,de,_
976,DET,58,ces,_
977,NC,58,aliments,_
978,ADV,58,ne,_
979,V,58,sera,_
980,VPP,58,amenÃ©,_
981,P,58,Ã ,_
982,VINF,58,chÃ´mer,_
983,PONCT,58,:,_
984,DET,58,la,_
985,NC,58,productivitÃ©,_
986,P,58,de,_
987,DET,58,notre,_
988,NC,58,plongeur,_
989,CLO,58,nous,_
990,V,58,permettra,_
991,P,58,d',_
992,VINF,58,avoir,_
993,DET,58,des,_
994,NC,58,ustensiles,_
995,P,58,de,_
996,NC,58,qualitÃ©s,_
997,PONCT,58,",",_
998,DET,58,l',_
999,NC,58,excellence,_
1000,P,58,de,_
1001,DET,58,nos,_
1002,NC,58,prÃ©parateurs,_
1003,P,58,pour,_
1004,VINF,58,beurrer,_
1005,DET,58,les,_
1006,NC,58,moules,_
1007,PONCT,58,",",_
1008,VPP,58,commis,_
1009,ADJ,58,second,_
1010,NC,58,chef,_
1011,PONCT,58,.,_
1012,DELIM,58,Â§,_
1013,P,59,Sans,_
1014,VINF,59,mettre,_
1015,DET,59,le,_
1016,NC,59,feu,_
1017,P,59,Ã ,_
1018,DET,59,la,_
1019,NC,59,poudre,_
1020,P,59,d',_
1021,NC,59,amande,_
1022,PONCT,59,",",_
1023,CLS,59,je,_
1024,V,59,souhaite,_
1025,VINF,59,faire,_
1026,VINF,59,revenir,_
1027,PRO,59,celle,_
1028,PONCT,59,-,_
1029,NPP,59,ci,_
1030,CS,59,car,_
1031,CLS,59,je,_
1032,V,59,veux,_
1033,VINF,59,promouvoir,_
1034,DET,59,les,_
1035,NC,59,produits,_
1036,P,59,de,_
1037,DET,59,ma,_
1038,NC,59,campagne,_
1039,CC,59,et,_
1040,VINF,59,donner,_
1041,DET,59,le,_
1042,ADJ,59,meilleur,_
1043,P,59,d',_
1044,PRO,59,eux,_
1045,PONCT,59,-,_
1046,ADV,59,mÃªme,_
1047,PONCT,59,.,_
1048,DELIM,59,Â§,_
1049,ADJ,60,Tel,_
1050,V,60,sera,_
1051,DET,60,la,_
1052,NC,60,clÃ©,_
1053,P,60,de,_
1054,DET,60,notre,_
1055,NC,60,succÃ¨s,_
1056,PONCT,60,.,_
1057,DELIM,60,Â§,_
1058,CLS,61,Je,_
1059,CLR,61,m',_
1060,V,61,engage,_
1061,ADV,61,aussi,_
1062,P,61,Ã ,_
1063,VINF,61,promouvoir,_
1064,DET,61,l',_
1065,NC,61,hÃ©tÃ©rogÃ©nÃ©itÃ©,_
1066,P+D,61,du,_
1067,NC,61,mÃ©lange,_
1068,P,61,avec,_
1069,DET,61,le,_
1070,NC,61,sucre,_
1071,PONCT,61,",",_
